id;bairro;cep
956;JARDIM BRASILIA;02859010
957;JARDIM BRASILIA;02859020
958;JARDIM BRASILIA;02859030
959;JARDIM BRASILIA;02859040
960;JARDIM BRASILIA;02859050
961;JARDIM BRASILIA;02859060
962;JARDIM BRASILIA;02859070
963;JARDIM BRASILIA;02859080
964;JARDIM BRASILIA;02859090
965;JARDIM BRASILIA;02859100
966;JARDIM BRASILIA;02859110
967;JARDIM BRASILIA;02859120
968;VILA NOVA PARADA;02883050
969;VILA NOVA PARADA;02883053
970;VILA NOVA PARADA;02883052
971;VILA NOVA PARADA;02883054
972;JARDIM CARUMBE;02837150
973;JARDIM CARUMBE;02837160
974;JARDIM CARUMBE;02846190
975;JARDIM CARUMBE;02846200
976;JARDIM CARUMBE;02846210
977;JARDIM CARUMBE;02846220
978;JARDIM CARUMBE;02846010
979;JARDIM CARUMBE;02853040
980;JARDIM CARUMBE;02853050
981;JARDIM CARUMBE;02853080
982;JARDIM CARUMBE;02853060
983;JARDIM CARUMBE;02854050
984;JARDIM CARUMBE;02855000
985;JARDIM CARUMBE;02855010
986;JARDIM CARUMBE;02855020
987;JARDIM CARUMBE;02855030
988;JARDIM CARUMBE;02855035
989;JARDIM CARUMBE;02855040
990;JARDIM CARUMBE;02855050
991;JARDIM CARUMBE;02855060
992;JARDIM CARUMBE;02855070
993;JARDIM CARUMBE;02855075
994;JARDIM CARUMBE;02855080
995;JARDIM CARUMBE;02855090
996;JARDIM CARUMBE;02855110
997;JARDIM CARUMBE;02855120
998;JARDIM CARUMBE;02855130
999;JARDIM CARUMBE;02855140
1000;JARDIM CARUMBE;02855150
1001;JARDIM CARUMBE;02855160
1002;JARDIM CARUMBE;02855170
1003;JARDIM CARUMBE;02855180
1004;JARDIM CARUMBE;02855190
1005;JARDIM CARUMBE;02855220
1006;JARDIM CARUMBE;02855230
1007;JARDIM CARUMBE;02855240
1008;JARDIM CARUMBE;02855250
1009;JARDIM CARUMBE;02855270
